rg,rb,gb
3.6369943956024287,3.2597392176529594,0.8962728184553661,red
2.749279620011734,2.6684730818570848,0.9706081049135684,red
2.2186054573487057,1.8465534217609387,0.8323036507661081,red
2.300342431468785,1.9848710031806223,0.8628589274481488,red
2.509398294733059,2.260685696408289,0.900887555854808,red
1.902233454423312,1.493494201363206,0.7851266614464938,red
1.9159231582864862,1.641614070935793,0.8568266758693899,red
1.9168489345204094,1.5128274136039495,0.7892262068019746,red
1.9029708161885062,1.2473249833476792,0.6554619612327889,red
2.0246611847210425,1.4132030007380307,0.6979948108862183,red
2.7406927382045643,2.3689747307125484,0.8643707839589748,red
2.9234356884211157,2.6568187290695744,0.9088001284216601,red
2.9987920651581166,2.725011056465235,0.9087029034544127,red
2.8083632221791395,2.5604131683605833,0.9117101193106495,red
2.500469579310604,2.010855648361007,0.8041912067234239,red
2.6100731695816273,1.8806899261679726,0.7205506527885697,red
2.7372012616765744,2.44849180906045,0.8945238493572497,red
2.749555301771871,2.533151280665592,0.9212949014093937,red
2.2593497253682164,1.890971669510452,0.8369539466504113,red
2.2446149794431354,2.1833320524753295,0.9726978000552194,red
2.5968437593457256,2.530032050580296,0.9742719566685586,red
2.5106285434152054,2.1086075260891883,0.8398723624884994,red
2.3747624816102615,2.3001997030057866,0.968602005808212,red
2.6978799025699653,2.749880720658337,1.0192746971571405,red
2.3132811725710005,2.0025452842531983,0.8656731001824358,red
3.4395630868624925,4.068942810693875,1.1829824625794236,red
3.2677170639215394,3.96896679628588,1.2145992809802146,red
3.354395721664258,1.7568226167549734,0.5237374366442786,red
2.0921444352388843,1.961393025293957,0.9375036408851009,red
2.1876335293814977,2.5358778467586762,1.159187685094421,red
2.1826304873833386,4.952528480950607,2.269064099296065,red
2.01180595211219,4.419288496039908,2.196677314429907,red
4.3653242839959825,4.866423065049005,1.1147907345372106,red
4.720263064890364,6.774207775597063,1.4351335259223321,red
5.00501250890831,7.557173408973234,1.5099209833187008,red
2.6739893671666324,2.911372069807306,1.0887747369362972,red
2.4204781342229897,2.6888157947473754,1.1108614272239754,red
2.159785330357769,1.6134562285826983,0.7470447205581441,red
3.814935802110542,3.593322158642082,0.9419089455330134,red
3.4147781634734753,3.2871439173374437,0.962622975775913,red
2.881942060119635,2.7373640363277882,0.9498331261434712,red
3.0900701805817077,3.2792921074043933,1.0612354787317693,red
3.464035455910143,3.434180352593572,0.9913814094293886,red
2.959996016930631,3.783868898638797,1.2783358075469577,red
3.4613334871030697,4.617367470708739,1.3339851499178144,red
3.5466169581868954,4.9971883943032145,1.409001438051512,red
3.6494414987757127,3.856496120683006,1.056735975073653,red
3.487106352528907,4.081583849959296,1.170478740058864,red
2.771983265818493,2.622007412485041,0.9458958301867064,red
2.889065120550045,3.2157096278276147,1.1130623553460715,red
2.856740903485227,3.391055370345312,1.187036376385489,red
3.703032059881666,3.611623717327746,0.9753152710871098,red
1.9326852734487574,2.9034659153353513,1.5022962896355576,red
1.883613334946454,2.791481574220912,1.4819822744036084,red
2.925991533176673,2.4728013492259007,0.8451156885410548,red
2.2307876641492492,3.681894635169904,1.6504908532269749,red
3.8449891460418786,3.3904076709829947,0.8817730147491208,red
2.1936866541420863,3.5130346466349835,1.6014295569523225,red
3.6286311248904766,3.7475831514640308,1.032781515254501,red
3.671078264084407,3.579560895125062,0.9750707115523265,red
3.442516959571362,2.866573223834126,0.832696906797825,red
3.5315588380875047,2.2793398160013494,0.6454203145134948,red
3.2622703737853747,2.1715440181297407,0.6656542129615058,red
2.0036199517184277,2.7078582619084397,1.3514829793873904,red
2.0321905770811957,2.800759320460113,1.378197178968717,red
3.63635313737175,2.9054076499182457,0.7989894105879357,red
