blue,green,red,color
0.09774509803921569,0.08760627450980392,0.31862352941176475,red
0.3732521568627451,0.362281568627451,0.9960133333333334,red
0.388723137254902,0.32353568627450985,0.7177980392156863,red
0.3541050980392157,0.30554274509803925,0.7028529411764707,red
0.28830000000000006,0.2597258823529412,0.6517556862745097,red
0.4342129411764706,0.3409121568627451,0.6484945098039216,red
0.37385921568627456,0.3203325490196079,0.6137325490196078,red
0.45753725490196084,0.36110039215686274,0.6921749019607844,red
0.5157380392156863,0.3380466666666667,0.6432929411764706,red
0.44527607843137257,0.3108003921568628,0.6292654901960785,red
0.26183843137254903,0.22632549019607842,0.6202886274509805,red
0.22963568627450984,0.2086929411764706,0.6101003921568627,red
0.22079176470588235,0.20063411764705882,0.6016600000000001,red
0.1774901960784314,0.16181960784313726,0.4544482352941177,red
0.2725968627450981,0.21922,0.5481529411764706,red
0.2654674509803922,0.19128274509803922,0.49926196078431373,red
0.26018705882352944,0.2327435294117647,0.6370658823529413,red
0.24599647058823532,0.22663529411764707,0.6231462745098039,red
0.29464549019607844,0.24660470588235295,0.5571662745098039,red
0.2755505882352941,0.2680274509803922,0.601618431372549,red
0.23284274509803923,0.22685215686274512,0.5890996078431373,red
0.3085945098039216,0.25918,0.650704705882353,red
0.26804509803921567,0.2596290196078431,0.6165572549019608,red
0.18575607843137257,0.1893364705882353,0.5108070588235294,red
0.32909764705882355,0.2848909803921569,0.6590329411764706,red
0.18163960784313726,0.2148764705882353,0.7390811764705882,red
0.19241882352941178,0.23371176470588237,0.7637039215686275,red
0.2455788235294118,0.12861882352941179,0.43143843137254906,red
0.3029321568627451,0.28400000000000003,0.5941690196078432,red
0.15122117647058822,0.1752937254901961,0.38347843137254906,red
0.03999921568627451,0.0907607843137255,0.19809725490196078,red
0.05377176470588235,0.11811921568627451,0.2376329411764706,red
0.08510627450980393,0.0948756862745098,0.414163137254902,red
0.05334941176470589,0.07656352941176471,0.36140000000000005,red
0.0871,0.13151411764705884,0.6582298039215686,red
0.2804807843137255,0.30538039215686275,0.8165839215686275,red
0.1467650980392157,0.16303568627450982,0.39462431372549023,red
0.2545129411764706,0.19013254901960785,0.41064549019607843,red
0.20354117647058825,0.1917172549019608,0.7313890196078431,red
0.20608235294117647,0.19837960784313727,0.6774223529411765,red
0.26214470588235295,0.24899372549019608,0.7175854901960785,red
0.22941333333333336,0.243461568627451,0.7523133333333333,red
0.21581254901960786,0.21395254901960786,0.7411392156862745,red
0.23721803921568627,0.3032443137254902,0.8976019607843138,red
0.19372705882352942,0.25842901960784315,0.8945090196078432,red
0.16416549019607843,0.2313094117647059,0.8203658823529413,red
0.10169568627450981,0.10746549019607843,0.39218901960784314,red
0.10019764705882353,0.11727921568627452,0.4089650980392157,red
0.16876666666666668,0.15963568627450983,0.4425074509803922,red
0.13927764705882353,0.15502470588235295,0.4478764705882353,red
0.12751215686274509,0.15136156862745098,0.43240078431372553,red
0.17893098039215688,0.17451411764705882,0.6462313725490196,red
0.11775176470588236,0.17689803921568628,0.34188823529411766,red
0.12685764705882352,0.1880007843137255,0.3541207843137255,red
0.10347254901960784,0.08744627450980393,0.2558670588235294,red
0.09419372549019608,0.15546588235294118,0.3468113725490196,red
0.06535450980392157,0.0576278431372549,0.22157843137254904,red
0.102321568627451,0.1638607843137255,0.35945921568627454,red
0.09577372549019608,0.09891333333333334,0.35892,red
0.11313568627450982,0.11031529411764707,0.40497607843137257,red
0.13905254901960787,0.11578862745098041,0.3986043137254902,red
0.10925058823529413,0.07051254901960785,0.24901921568627453,red
0.09967372549019608,0.06634823529411765,0.21644588235294118,red
0.12440509803921569,0.1681313725490196,0.33687137254901967,red
0.1283913725490196,0.17694862745098042,0.3595933333333334,red
0.10624745098039215,0.08489058823529412,0.30869215686274515,red
0.08762627450980393,0.10715647058823531,0.33641019607843137,red
0.08730196078431372,0.0917886274509804,0.2343450980392157,red
0.07733058823529412,0.11068901960784314,0.2880607843137255,red
0.08555843137254902,0.08768470588235294,0.24021843137254903,red
0.20431529411764707,0.4443576470588235,0.10819176470588236,green
0.19665607843137256,0.4161019607843138,0.10593058823529412,green
0.4052976470588236,0.9968337254901961,0.48610117647058826,green
0.46071058823529415,0.9538996078431373,0.5174862745098039,green
0.667446274509804,0.9994321568627452,0.6753137254901961,green
0.781786274509804,0.9906133333333333,0.7594435294117647,green
0.732344705882353,0.9996098039215687,0.7312929411764706,green
0.7161780392156863,0.9994760784313725,0.6976309803921569,green
0.3616992156862745,0.528104705882353,0.2506380392156863,green
0.4359368627450981,0.545244705882353,0.3261180392156863,green
0.32038352941176473,0.5128035294117648,0.25151490196078435,green
0.26314901960784315,0.4218686274509804,0.24961529411764707,green
